Spectrum Number,MS Level,DT,Retention Time (sec),m/z_ion,Base Peak Intensity,CCS (Ã…^2),Cluster,Total Base Peak Intensity
158347,2,32.998402666667,323.247,551.4994664528031,2316.0,245.23147917789868,18246,345820.0
158348,2,33.038304,323.247,551.4994664528031,2874.0,245.52740242201494,18246,345820.0
158349,2,33.078205333333,323.247,551.4994664528031,3639.0,245.8233256661313,18246,345820.0
158350,2,33.118106666667,323.247,551.4994664528031,4474.0,246.119248910255,18246,345820.0
158351,2,33.158008,323.247,551.4994664528031,5200.0,246.41517215437128,18246,345820.0
158352,2,33.197909333333,323.247,551.4994664528031,5658.0,246.71109539848757,18246,345820.0
158353,2,33.237810666667,323.247,551.4994664528031,5992.0,247.00701864261129,18246,345820.0
158354,2,33.277712,323.247,551.4994664528031,6357.0,247.30294188672755,18246,345820.0
158355,2,33.317613333333,323.247,551.4994664528031,6899.0,247.59886513084385,18246,345820.0
158356,2,33.357514666667,323.247,551.4994664528031,7444.0,247.89478837496756,18246,345820.0
160253,2,32.798896,325.788,551.4994664528031,1076.0,243.7518629573024,18246,345820.0
160257,2,32.958501333333,325.788,551.4994664528031,2760.0,244.93555593377496,18246,345820.0
160258,2,32.998402666667,325.788,551.4994664528031,3534.0,245.23147917789868,18246,345820.0
160259,2,33.038304,325.788,551.4994664528031,4370.0,245.52740242201494,18246,345820.0
160260,2,33.078205333333,325.788,551.4994664528031,5213.0,245.8233256661313,18246,345820.0
160261,2,33.118106666667,325.788,551.4994664528031,6086.0,246.119248910255,18246,345820.0
160262,2,33.158008,325.788,551.4994664528031,7007.0,246.41517215437128,18246,345820.0
160263,2,33.197909333333,325.788,551.4994664528031,8001.0,246.71109539848757,18246,345820.0
160264,2,33.237810666667,325.788,551.4994664528031,9007.0,247.00701864261129,18246,345820.0
160265,2,33.277712,325.788,551.4994664528031,9941.0,247.30294188672755,18246,345820.0
160266,2,33.317613333333,325.788,551.4994664528031,10764.0,247.59886513084385,18246,345820.0
160267,2,33.357514666667,325.788,551.4994664528031,11414.0,247.89478837496756,18246,345820.0
162097,2,32.958501333333,328.31899999998,551.4994664528031,3091.0,244.93555593377496,18246,345820.0
162098,2,32.998402666667,328.31899999998,551.4994664528031,3864.0,245.23147917789868,18246,345820.0
162099,2,33.038304,328.31899999998,551.4994664528031,4677.0,245.52740242201494,18246,345820.0
162100,2,33.078205333333,328.31899999998,551.4994664528031,5452.0,245.8233256661313,18246,345820.0
162101,2,33.118106666667,328.31899999998,551.4994664528031,6292.0,246.119248910255,18246,345820.0
162102,2,33.158008,328.31899999998,551.4994664528031,7326.0,246.41517215437128,18246,345820.0
162103,2,33.197909333333,328.31899999998,551.4994664528031,8704.0,246.71109539848757,18246,345820.0
162104,2,33.237810666667,328.31899999998,551.4994664528031,10166.0,247.00701864261129,18246,345820.0
162105,2,33.277712,328.31899999998,551.4994664528031,11378.0,247.30294188672755,18246,345820.0
162106,2,33.317613333333,328.31899999998,551.4994664528031,12080.0,247.59886513084385,18246,345820.0
162107,2,33.357514666667,328.31899999998,551.4994664528031,12426.0,247.89478837496756,18246,345820.0
163963,2,32.798896,330.85999999998,551.4994664528031,907.0,243.7518629573024,18246,345820.0
163964,2,32.838797333333,330.85999999998,551.4994664528031,1195.0,244.0477862014187,18246,345820.0
163965,2,32.878698666667,330.85999999998,551.4994664528031,1521.0,244.3437094455424,18246,345820.0
163966,2,32.9186,330.85999999998,551.4994664528031,1962.0,244.63963268965867,18246,345820.0
163967,2,32.958501333333,330.85999999998,551.4994664528031,2591.0,244.93555593377496,18246,345820.0
163968,2,32.998402666667,330.85999999998,551.4994664528031,3307.0,245.23147917789868,18246,345820.0
163969,2,33.038304,330.85999999998,551.4994664528031,3982.0,245.52740242201494,18246,345820.0
163970,2,33.078205333333,330.85999999998,551.4994664528031,4484.0,245.8233256661313,18246,345820.0
163971,2,33.118106666667,330.85999999998,551.4994664528031,5011.0,246.119248910255,18246,345820.0
163972,2,33.158008,330.85999999998,551.4994664528031,5820.0,246.41517215437128,18246,345820.0
163973,2,33.197909333333,330.85999999998,551.4994664528031,7173.0,246.71109539848757,18246,345820.0
163974,2,33.237810666667,330.85999999998,551.4994664528031,8686.0,247.00701864261129,18246,345820.0
163975,2,33.277712,330.85999999998,551.4994664528031,9872.0,247.30294188672755,18246,345820.0
163976,2,33.317613333333,330.85999999998,551.4994664528031,10346.0,247.59886513084385,18246,345820.0
163977,2,33.357514666667,330.85999999998,551.4994664528031,10366.0,247.89478837496756,18246,345820.0
165838,2,32.798896,333.38100000000003,551.4994664528031,682.0,243.7518629573024,18246,345820.0
165839,2,32.838797333333,333.38100000000003,551.4994664528031,890.0,244.0477862014187,18246,345820.0
165840,2,32.878698666667,333.38100000000003,551.4994664528031,1119.0,244.3437094455424,18246,345820.0
165841,2,32.9186,333.38100000000003,551.4994664528031,1392.0,244.63963268965867,18246,345820.0
165842,2,32.958501333333,333.38100000000003,551.4994664528031,1722.0,244.93555593377496,18246,345820.0
165843,2,32.998402666667,333.38100000000003,551.4994664528031,2090.0,245.23147917789868,18246,345820.0
165844,2,33.038304,333.38100000000003,551.4994664528031,2472.0,245.52740242201494,18246,345820.0
165845,2,33.078205333333,333.38100000000003,551.4994664528031,2831.0,245.8233256661313,18246,345820.0
165846,2,33.118106666667,333.38100000000003,551.4994664528031,3245.0,246.119248910255,18246,345820.0
165847,2,33.158008,333.38100000000003,551.4994664528031,3818.0,246.41517215437128,18246,345820.0
165848,2,33.197909333333,333.38100000000003,551.4994664528031,4676.0,246.71109539848757,18246,345820.0
165849,2,33.237810666667,333.38100000000003,551.4994664528031,5602.0,247.00701864261129,18246,345820.0
165850,2,33.277712,333.38100000000003,551.4994664528031,6317.0,247.30294188672755,18246,345820.0
165851,2,33.317613333333,333.38100000000003,551.4994664528031,6606.0,247.59886513084385,18246,345820.0
167761,2,32.9186,335.90200000002,551.4994664528031,651.0,244.63963268965867,18246,345820.0
167762,2,32.958501333333,335.90200000002,551.4994664528031,797.0,244.93555593377496,18246,345820.0
167763,2,32.998402666667,335.90200000002,551.4994664528031,963.0,245.23147917789868,18246,345820.0
167766,2,33.118106666667,335.90200000002,551.4994664528031,1571.0,246.119248910255,18246,345820.0
167767,2,33.158008,335.90200000002,551.4994664528031,1876.0,246.41517215437128,18246,345820.0
167768,2,33.197909333333,335.90200000002,551.4994664528031,2305.0,246.71109539848757,18246,345820.0
169717,2,32.9186,338.442,551.4994664528031,271.0,244.63963268965867,18246,345820.0
175288,2,33.118106666667,346.04500000001997,551.4994664528031,119.0,246.119248910255,18246,345820.0
175289,2,33.158008,346.04500000001997,551.4994664528031,256.0,246.41517215437128,18246,345820.0
175290,2,33.197909333333,346.04500000001997,551.4994664528031,402.0,246.71109539848757,18246,345820.0
175291,2,33.237810666667,346.04500000001997,551.4994664528031,442.0,247.00701864261129,18246,345820.0
